participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL_x,pre_total,P1,P2,P3i,P3ii,P4,P5,TOTAL_y,post_total,gain,normalized_gain,_pre_rank,pre_quartile
P001,1,1,0,0,0,0,0,0,1,0,3,3,1.0,2.0,0,0.0,1.0,2.0,6.0,6.0,3.0,0.42857142857142855,11.0,Q1
P002,0,0,0,0,0,1,0,1,1,1,4,4,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5,5.5,0.9166666666666666,37.0,Q1
P003,0,0,0,1,0,1,1,1,0,1,5,5,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,5.0,1.0,71.0,Q2
P004,1,0,0,1,0,1,1,1,1,1,7,7,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0,2.0,0.6666666666666666,125.0,Q4
P005,0,0,1,0,1,0,0,0,1,0,3,3,1.0,0.0,1,1.0,2.0,2.0,7.0,7.0,4.0,0.5714285714285714,12.0,Q1
P006,0,1,0,1,0,0,0,0,1,1,4,4,1.0,2.0,1,1.0,1.5,3.0,9.5,9.5,5.5,0.9166666666666666,38.0,Q1
P007,0,0,0,1,1,0,1,1,0,1,5,5,1.0,0.0,1,0.0,1.5,1.5,5.0,5.0,0.0,0.0,72.0,Q2
P008,1,1,0,0,0,1,1,1,0,1,6,6,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0,3.0,0.75,102.0,Q3
P009,1,0,1,0,1,0,0,1,1,1,6,6,1.0,2.0,1,1.0,1.5,1.5,8.0,8.0,2.0,0.5,103.0,Q3
P010,1,0,1,0,0,1,0,0,0,0,3,3,1.0,1.0,0,0.0,2.0,1.5,5.5,5.5,2.5,0.35714285714285715,13.0,Q1
P011,0,0,1,0,0,0,0,0,1,1,3,3,1.0,0.0,0,0.0,1.0,0.5,2.5,2.5,-0.5,-0.07142857142857142,14.0,Q1
P012,0,1,0,1,0,0,0,1,1,1,5,5,1.0,0.0,1,0.0,1.0,2.0,5.0,5.0,0.0,0.0,73.0,Q2
P013,0,1,0,0,0,1,1,0,1,1,5,5,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5,4.5,0.9,74.0,Q2
P014,1,0,0,0,0,0,0,0,0,1,2,2,1.0,0.0,0,0.0,1.0,0.5,2.5,2.5,0.5,0.0625,1.0,Q1
P015,0,0,0,0,1,0,0,0,1,0,2,2,1.0,0.0,1,0.5,1.5,1.5,5.5,5.5,3.5,0.4375,2.0,Q1
P016,1,1,0,0,0,0,1,0,1,1,5,5,0.5,2.0,1,1.0,2.0,1.5,8.0,8.0,3.0,0.6,75.0,Q2
P017,0,0,1,1,0,0,0,1,1,0,4,4,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,4.5,0.75,39.0,Q2
P018,0,1,0,1,0,0,0,0,1,1,4,4,1.0,0.0,0,0.0,2.0,1.5,4.5,4.5,0.5,0.08333333333333333,40.0,Q2
P019,0,1,1,0,1,0,0,0,0,0,3,3,1.0,0.0,0,0.0,1.0,2.0,4.0,4.0,1.0,0.14285714285714285,15.0,Q1
P020,0,1,1,0,0,0,0,0,1,1,4,4,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5,2.5,0.4166666666666667,41.0,Q2
P021,1,0,0,1,0,0,0,1,0,0,3,3,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5,4.5,0.6428571428571429,16.0,Q1
P022,0,0,0,1,1,0,0,0,1,0,3,3,1.0,0.0,1,0.0,1.0,1.0,4.0,4.0,1.0,0.14285714285714285,17.0,Q1
P023,1,1,1,1,0,0,0,0,1,1,6,6,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0,3.0,0.75,104.0,Q3
P024,0,1,1,1,0,1,1,0,1,1,7,7,1.0,1.5,1,1.0,2.0,2.5,9.0,9.0,2.0,0.6666666666666666,126.0,Q4
P025,0,0,1,0,1,1,1,1,0,1,6,6,1.0,0.0,1,1.0,1.5,2.5,7.0,7.0,1.0,0.25,105.0,Q3
P026,1,1,0,1,0,0,0,0,1,0,4,4,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,4.5,0.75,42.0,Q2
P027,1,0,0,0,1,1,0,1,1,1,6,6,1.0,2.0,1,1.0,1.0,3.0,9.0,9.0,3.0,0.75,106.0,Q3
P028,1,1,1,0,1,0,0,1,1,1,7,7,0.0,2.0,1,1.0,2.0,1.5,7.5,7.5,0.5,0.16666666666666666,127.0,Q4
P029,1,1,1,0,0,1,0,1,1,1,7,7,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5,0.5,0.16666666666666666,128.0,Q4
P030,0,0,0,1,1,0,1,0,1,0,4,4,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,4.5,0.75,43.0,Q2
P031,1,1,0,0,0,1,0,0,1,1,5,5,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5,0.5,0.1,76.0,Q3
P032,1,1,0,1,1,0,0,0,1,0,5,5,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,3.5,0.7,77.0,Q3
P033,0,0,1,1,0,1,0,0,0,0,3,3,0.0,2.0,1,1.0,2.0,1.5,7.5,7.5,4.5,0.6428571428571429,18.0,Q1
P034,0,0,1,0,1,0,0,1,0,1,4,4,1.0,0.0,1,1.0,1.5,1.0,5.5,5.5,1.5,0.25,44.0,Q2
