participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL,pre_total
P001,1,1,0,0,0,0,0,0,1,0,3,3
P002,0,0,0,0,0,1,0,1,1,1,4,4
P003,0,0,0,1,0,1,1,1,0,1,5,5
P004,1,0,0,1,0,1,1,1,1,1,7,7
P005,0,0,1,0,1,0,0,0,1,0,3,3
P006,0,1,0,1,0,0,0,0,1,1,4,4
P007,0,0,0,1,1,0,1,1,0,1,5,5
P008,1,1,0,0,0,1,1,1,0,1,6,6
P009,1,0,1,0,1,0,0,1,1,1,6,6
P010,1,0,1,0,0,1,0,0,0,0,3,3
P011,0,0,1,0,0,0,0,0,1,1,3,3
P012,0,1,0,1,0,0,0,1,1,1,5,5
P013,0,1,0,0,0,1,1,0,1,1,5,5
P014,1,0,0,0,0,0,0,0,0,1,2,2
P015,0,0,0,0,1,0,0,0,1,0,2,2
P016,1,1,0,0,0,0,1,0,1,1,5,5
P017,0,0,1,1,0,0,0,1,1,0,4,4
P018,0,1,0,1,0,0,0,0,1,1,4,4
P019,0,1,1,0,1,0,0,0,0,0,3,3
P020,0,1,1,0,0,0,0,0,1,1,4,4
P021,1,0,0,1,0,0,0,1,0,0,3,3
P022,0,0,0,1,1,0,0,0,1,0,3,3
P023,1,1,1,1,0,0,0,0,1,1,6,6
P024,0,1,1,1,0,1,1,0,1,1,7,7
P025,0,0,1,0,1,1,1,1,0,1,6,6
P026,1,1,0,1,0,0,0,0,1,0,4,4
P027,1,0,0,0,1,1,0,1,1,1,6,6
P028,1,1,1,0,1,0,0,1,1,1,7,7
P029,1,1,1,0,0,1,0,1,1,1,7,7
P030,0,0,0,1,1,0,1,0,1,0,4,4
P031,1,1,0,0,0,1,0,0,1,1,5,5
P032,1,1,0,1,1,0,0,0,1,0,5,5
P033,0,0,1,1,0,1,0,0,0,0,3,3
P034,0,0,1,0,1,0,0,1,0,1,4,4
P035,0,0,0,0,1,1,1,1,1,1,6,6
P036,1,1,1,1,1,1,0,1,1,1,9,9
P037,1,0,0,0,0,1,0,1,1,1,5,5
P038,1,1,0,0,0,0,0,0,1,1,4,4
P039,0,1,1,1,1,0,0,0,0,1,5,5
P040,0,1,0,0,0,0,1,1,0,1,4,4
P041,0,1,0,1,0,1,0,1,0,0,4,4
P042,0,1,0,1,0,0,0,0,0,0,2,2
P043,0,1,0,1,1,0,1,0,1,0,5,5
P044,1,1,0,0,1,0,0,0,1,0,4,4
P045,1,0,0,0,0,0,0,0,1,1,3,3
P046,0,0,0,0,1,0,0,0,1,0,2,2
P047,1,1,1,1,0,0,1,0,1,1,7,7
P048,0,0,0,1,1,0,0,0,1,1,4,4
P049,1,1,0,1,1,1,0,1,1,0,7,7
P050,0,1,0,0,0,0,1,0,1,1,4,4
P051,0,0,1,0,1,0,0,1,0,0,3,3
P052,0,1,0,1,0,0,0,0,1,1,4,4
P053,1,0,0,1,0,0,1,1,1,1,6,6
P054,1,0,1,1,1,0,0,1,1,1,7,7
P055,1,0,0,1,1,0,0,1,1,1,6,6
P056,1,0,1,0,1,1,0,1,1,1,7,7
P057,1,0,0,0,1,0,1,1,0,1,5,5
P058,1,1,0,0,0,1,0,1,1,1,6,6
P059,0,0,1,1,0,0,0,1,1,0,4,4
P060,1,0,0,1,0,1,0,0,0,1,4,4
P061,1,0,1,0,0,0,0,0,0,1,3,3
P062,1,1,1,0,0,1,0,0,1,1,6,6
P063,0,1,1,1,0,1,1,0,0,1,6,6
P064,0,0,0,0,0,0,0,0,1,1,2,2
P065,0,1,0,1,0,0,0,0,0,1,3,3
P066,0,0,0,1,1,0,0,1,1,1,5,5
P067,1,1,0,0,1,0,0,0,1,1,5,5
P068,1,0,0,1,0,0,0,0,0,1,3,3
P069,0,0,0,1,0,1,0,0,1,1,4,4
P070,1,1,1,0,0,0,0,1,1,1,6,6
P071,0,0,0,1,0,1,0,1,1,1,5,5
P072,0,0,0,0,0,0,0,1,0,1,2,2
P073,1,1,1,1,1,0,0,1,1,1,8,8
P074,0,1,1,0,1,0,0,0,0,1,4,4
P075,1,0,1,0,1,0,0,0,0,1,4,4
P076,1,0,0,1,0,0,0,0,1,0,3,3
P077,1,0,1,1,1,1,1,0,1,0,7,7
P078,0,1,0,1,0,0,0,0,0,0,2,2
P079,0,0,1,0,0,1,0,0,0,1,3,3
P080,1,0,0,0,0,0,0,1,1,1,4,4
P081,1,1,1,0,1,1,0,0,0,1,6,6
P082,0,0,0,0,1,0,0,1,1,1,4,4
P083,0,0,1,0,1,0,1,0,0,1,4,4
P084,1,1,0,0,1,1,1,1,1,1,8,8
P085,1,0,0,0,0,1,1,0,1,1,5,5
P086,1,0,1,0,1,0,0,1,1,1,6,6
P087,0,0,0,1,1,0,0,1,1,1,5,5
P088,0,0,0,0,0,0,0,0,1,1,2,2
P089,1,0,0,1,0,0,0,0,1,0,3,3
P090,1,0,0,1,1,0,0,1,1,0,5,5
P091,0,1,0,1,0,0,1,0,0,0,3,3
